block_num,timestamp,transactionId,protocol,tvl,usd,period,balances,prices
252872361,1655605802,9df5328c1fc12acdb64741c33a531f422d42a68663c986f7bf0378048eed459c,swap.defi,7605371.4248 EOS,6604504.5453 USD,2022-06-19T02:30:00,1417246.7962 EOS|2722459.6575 USDT|3053095.0830 EOS,0.8684 USD|1.0000 USD|0.8684 USD
252873562,1655606403,b891144258b883b10eeb2dd10f09bb46ffdc2b9941562309eed2b1f2ac2689cf,danchorsmart,3264865.3735 EOS,2829005.8462 USD,2022-06-19T02:40:00,12534.7581 EOS|107300.7927 USDT|3128498.1948 EOS,0.8665 USD|1.0000 USD|0.8665 USD
252873562,1655606403,b891144258b883b10eeb2dd10f09bb46ffdc2b9941562309eed2b1f2ac2689cf,lend.defi,1296489.2515 EOS,1123407.9365 USD,2022-06-19T02:40:00,493863.4233 EOS|695475.2803 USDT,0.8665 USD|1.0000 USD
252873562,1655606403,b891144258b883b10eeb2dd10f09bb46ffdc2b9941562309eed2b1f2ac2689cf,lend.pizza,497559.8114 EOS,431135.5766 USD,2022-06-19T02:40:00,1.0000 EOS|12333.9221 EOS|305645.4177 USDT|132489.2661 EOS,0.8665 USD|0.8665 USD|1.0000 USD|0.8665 USD
252873562,1655606403,b891144258b883b10eeb2dd10f09bb46ffdc2b9941562309eed2b1f2ac2689cf,swap.defi,7612929.1387 EOS,6596603.0987 USD,2022-06-19T02:40:00,1419197.1101 EOS|2721361.9134 USDT|3053095.0830 EOS,0.8665 USD|1.0000 USD|0.8665 USD
252874760,1655607002,f5227c303e2d554d11cfa71bdd2fdce799039b4b0d5226e28af35bf8f4b1c702,danchorsmart,3264154.9179 EOS,2844711.0110 USD,2022-06-19T02:50:00,12534.7581 EOS|107300.7927 USDT|3128498.1948 EOS,0.8715 USD|1.0000 USD|0.8715 USD
252874760,1655607002,f5227c303e2d554d11cfa71bdd2fdce799039b4b0d5226e28af35bf8f4b1c702,lend.defi,1301614.1790 EOS,1134356.7570 USD,2022-06-19T02:50:00,493863.4233 EOS|703954.7836 USDT,0.8715 USD|1.0000 USD
252874760,1655607002,f5227c303e2d554d11cfa71bdd2fdce799039b4b0d5226e28af35bf8f4b1c702,lend.pizza,495536.0845 EOS,431859.6977 USD,2022-06-19T02:50:00,1.0000 EOS|12333.9221 EOS|305645.4177 USDT|132489.2661 EOS,0.8715 USD|0.8715 USD|1.0000 USD|0.8715 USD
252874760,1655607002,f5227c303e2d554d11cfa71bdd2fdce799039b4b0d5226e28af35bf8f4b1c702,swap.defi,7594234.9597 EOS,6618375.7674 USD,2022-06-19T02:50:00,1415619.1778 EOS|2723891.2892 USDT|3053095.0830 EOS,0.8715 USD|1.0000 USD|0.8715 USD
252875970,1655607607,07f4dbbf983808b8051af21b94f6db50427b629492a576e0def3936c52f25f07,danchorsmart,3263943.9208 EOS,2849423.0429 USD,2022-06-19T03:00:00,12535.5873 EOS|107300.7927 USDT|3128497.9182 EOS,0.8730 USD|1.0000 USD|0.8730 USD
