block_num,timestamp,transactionId,protocol,tvl,usd,period
252875970,1655607607,07f4dbbf983808b8051af21b94f6db50427b629492a576e0def3936c52f25f07,lend.pizza,488707.0912 EOS,432339.7598 USD,2022-06-19T03:00:00
252875970,1655607607,07f4dbbf983808b8051af21b94f6db50427b629492a576e0def3936c52f25f07,swap.defi,7543885.0179 EOS,6675187.7228 USD,2022-06-19T03:00:00
252877165,1655608205,f7fe5a08e95f749d3df6eea0b3761486257d559d36e7ff5cfb07cff85e727d8c,danchorsmart,3298700.5969 EOS,2905382.2869 USD,2022-06-19T03:10:00
252877165,1655608205,f7fe5a08e95f749d3df6eea0b3761486257d559d36e7ff5cfb07cff85e727d8c,lend.defi,1280994.0852 EOS,1130205.3870 USD,2022-06-19T03:10:00
252877165,1655608205,f7fe5a08e95f749d3df6eea0b3761486257d559d36e7ff5cfb07cff85e727d8c,lend.pizza,488748.3062 EOS,432946.5054 USD,2022-06-19T03:10:00
252877165,1655608205,f7fe5a08e95f749d3df6eea0b3761486257d559d36e7ff5cfb07cff85e727d8c,swap.defi,7544161.7828 EOS,6673447.3866 USD,2022-06-19T03:10:00
252878359,1655608802,a6c8e02a0d5fbbf5b4439565947b79177f27f266597c38330cc88f98344b9d57,danchorsmart,3298888.8303 EOS,2901150.3610 USD,2022-06-19T03:20:00
252878359,1655608802,a6c8e02a0d5fbbf5b4439565947b79177f27f266597c38330cc88f98344b9d57,lend.defi,1280644.4019 EOS,1128697.8205 USD,2022-06-19T03:20:00
252878359,1655608802,a6c8e02a0d5fbbf5b4439565947b79177f27f266597c38330cc88f98344b9d57,lend.pizza,488762.8477 EOS,432268.8882 USD,2022-06-19T03:20:00
252878359,1655608802,a6c8e02a0d5fbbf5b4439565947b79177f27f266597c38330cc88f98344b9d57,swap.defi,7544523.1868 EOS,6673579.9511 USD,2022-06-19T03:20:00
252879560,1655609402,156003b1cbcc08bb8a594561fb3f80d08045eebc688e3f1296ffda09b97b4eec,danchorsmart,3298861.8086 EOS,2901785.8684 USD,2022-06-19T03:30:00
252879560,1655609402,156003b1cbcc08bb8a594561fb3f80d08045eebc688e3f1296ffda09b97b4eec,lend.defi,1280722.0398 EOS,1129749.2495 USD,2022-06-19T03:30:00
252879560,1655609402,156003b1cbcc08bb8a594561fb3f80d08045eebc688e3f1296ffda09b97b4eec,lend.pizza,488720.9354 EOS,432413.4313 USD,2022-06-19T03:30:00
252879560,1655609402,156003b1cbcc08bb8a594561fb3f80d08045eebc688e3f1296ffda09b97b4eec,swap.defi,7544814.2751 EOS,6674598.7640 USD,2022-06-19T03:30:00
252880772,1655610008,3146d65f7013d086a269c0965b9c6fa23d5b505437c6fb7084832894b52b7be2,danchorsmart,3298907.7565 EOS,2900726.2964 USD,2022-06-19T03:40:00
252880772,1655610008,3146d65f7013d086a269c0965b9c6fa23d5b505437c6fb7084832894b52b7be2,lend.defi,1280241.3141 EOS,1128911.6078 USD,2022-06-19T03:40:00
252880772,1655610008,3146d65f7013d086a269c0965b9c6fa23d5b505437c6fb7084832894b52b7be2,lend.pizza,488541.4060 EOS,432077.3082 USD,2022-06-19T03:40:00
252880772,1655610008,3146d65f7013d086a269c0965b9c6fa23d5b505437c6fb7084832894b52b7be2,swap.defi,7544003.5672 EOS,6674403.0198 USD,2022-06-19T03:40:00
252881965,1655610605,6d754d8212f3e7227d358019ed26f712cb3ef12d5dde7fcf98fbdcc985c1ba80,danchorsmart,3298922.1083 EOS,2900408.6814 USD,2022-06-19T03:50:00
252881965,1655610605,6d754d8212f3e7227d358019ed26f712cb3ef12d5dde7fcf98fbdcc985c1ba80,lend.defi,1280566.3150 EOS,1134347.7374 USD,2022-06-19T03:50:00
252881965,1655610605,6d754d8212f3e7227d358019ed26f712cb3ef12d5dde7fcf98fbdcc985c1ba80,lend.pizza,488693.4429 EOS,433083.0090 USD,2022-06-19T03:50:00
252881965,1655610605,6d754d8212f3e7227d358019ed26f712cb3ef12d5dde7fcf98fbdcc985c1ba80,swap.defi,7545316.7062 EOS,6678130.6513 USD,2022-06-19T03:50:00
252883156,1655611200,67265b1bbc60d34fed9995556c0f45f0be0b0210d447cc6afcc97f388da07d4d,danchorsmart,3298885.8832 EOS,2901255.7931 USD,2022-06-19T04:00:00
252883156,1655611200,67265b1bbc60d34fed9995556c0f45f0be0b0210d447cc6afcc97f388da07d4d,lend.defi,1279829.6303 EOS,1134189.1212 USD,2022-06-19T04:00:00
252883156,1655611200,67265b1bbc60d34fed9995556c0f45f0be0b0210d447cc6afcc97f388da07d4d,lend.pizza,488760.1077 EOS,432394.7478 USD,2022-06-19T04:00:00
252883156,1655611200,67265b1bbc60d34fed9995556c0f45f0be0b0210d447cc6afcc97f388da07d4d,swap.defi,7545479.8755 EOS,6679025.7726 USD,2022-06-19T04:00:00
252884357,1655611801,ad68135a924146045a91c6f07fb4059eaebafc1b2f20ce4af1d9b0b7a9156128,danchorsmart,3298845.2230 EOS,2902208.7878 USD,2022-06-19T04:10:00
